Community,Business,Internet and Media,Culture,Science and Technology,Politics,Incidents,Traveling,Power Structures,Sport,Economy
Community_1,0,0,0,0,0,4,7,0,0,0
Community_2,19,0,0,0,19,0,6,4,0,0
Community_3,0,0,0,3,0,0,0,0,0,0
Community_4,0,33,4,5,0,0,0,0,0,0
Community_5,17,0,0,0,0,0,3,0,3,3
Community_6,0,4,19,6,0,0,0,0,3,0
Community_7,0,0,0,0,0,15,0,6,0,0
Community_8,4,0,0,0,0,0,32,0,0,3
Community_9,0,0,0,3,0,0,0,0,32,0
Community_10,9,0,0,0,0,7,0,15,0,10
Community_11,0,0,0,0,24,0,0,0,0,3